Number,Cave,Cave Link,Type,Date,Club,Club Link,Notes,Link
67,Dron Pot (4669),https://matienzocaves.org.uk/descrip/4669.htm,Digging,05/08/2022,MCP,http://matienzocaves.org.uk,Digging at The Big Dig
66,Lolo (3991),http://matienzocaves.org.uk/descrip/3991.htm,Exploration,03/08/2022,MCP,http://matienzocaves.org.uk,Passing sump that is now open - 100m passage surveyed
65,Risco (0025),https://matienzocaves.org.uk/descrip/0025.htm,Exploration,01/08/2022,MCP,http://matienzocaves.org.uk,Pushing leads - several new bits of small passage found,
64,Coventosa,,Sport,31/07/2022,MCP,http://matienzocaves.org.uk,A look around the entrance series with Hannah,
63,Azpilicueta (0333),https://matienzocaves.org.uk/descrip/0333.htm,Sport,30/07/2022,MCP,http://matienzocaves.org.uk,Through trip to Reñada (0048) - 300m elevation drop in trip,
62,Risco (0025),https://matienzocaves.org.uk/descrip/0025.htm,Exploration,29/07/2022,MCP,http://matienzocaves.org.uk,Reviewing leads with Peter Smith,
61,Two Trees (5089),https://matienzocaves.org.uk/descrip/5089.htm,Exploration,28/07/2022,MCP,http://matienzocaves.org.uk,Approx. 40m of new passage found - no way on,
60,Llanio (3234),https://matienzocaves.org.uk/descrip/3234.htm,Digging,27/07/2022,MCP,http://matienzocaves.org.uk,Conclusion of digging in High Pulse - too tight,
59,Llanio (3234),https://matienzocaves.org.uk/descrip/3234.htm,Digging,26/07/2022,MCP,http://matienzocaves.org.uk,Digging in High Pulse,
58,Risco (0025),https://matienzocaves.org.uk/descrip/0025.htm,Exploration,25/07/2022,MCP,http://matienzocaves.org.uk,Exploring Dambuster Series - undescended pitches and a lead in the roof,
57,Multiple,,Digging,24/07/2022,MCP,http://matienzocaves.org.uk,Looking at sites 1602/1608/5163/0614/5198,
56,Notts II,https://cncc.org.uk/cave/notts-2,Sport,16/07/2022,,,,
55,Jenga Pot,https://cncc.org.uk/cave/jenga-pot,Digging,06/07/2022,NYMCC,http://nymcc.org.uk/,Digging at Sump 4,
54,Oddmire Pot,https://cncc.org.uk/cave/oddmire-pot,Sport,28/06/2022,,,Boireau Falls Chamber via Strid Passage,https://northall.me.uk/posts/langcliffe-pot/
53,Ireby Fell Cavern,https://cncc.org.uk/cave/ireby-fell-cavern,Sport,21/06/2022,DUSA,https://speleologicalassociation.webspace.durham.ac.uk/,Shadow route to Duke St again,
52,Cow Pot,https://cncc.org.uk/cave/cow-pot,Sport,19/06/2022,,,Main hang to Fall Pot,
